Temp = 28 ◦ C, Humidity = 87 %, Pressure = 0 hPa.
Temp = 21 ◦ C, Humidity = 87 %, Pressure = 0 hPa.
Temp = 34 ◦ C, Humidity = 52 %, Pressure = 1077 hPa.
Temp = 15 ◦ C, Humidity = 52 %, Pressure = 1077 hPa.
Temp = 34 ◦ C, Humidity = 61 %, Pressure = 1077 hPa.
Temp = 38 ◦ C, Humidity = 61 %, Pressure = 1054 hPa.
Temp = 30 ◦ C, Humidity = 65 %, Pressure = 1054 hPa.
Temp = 29 ◦ C, Humidity = 65 %, Pressure = 1054 hPa.
Temp = 30 ◦ C, Humidity = 46 %, Pressure = 906 hPa.
Temp = 39 ◦ C, Humidity = 46 %, Pressure = 906 hPa.
Temp = 15 ◦ C, Humidity = 85 %, Pressure = 906 hPa.
Temp = 23 ◦ C, Humidity = 85 %, Pressure = 900 hPa.
Temp = 36 ◦ C, Humidity = 43 %, Pressure = 900 hPa.
Temp = 32 ◦ C, Humidity = 43 %, Pressure = 900 hPa.
Temp = 16 ◦ C, Humidity = 79 %, Pressure = 998 hPa.
Temp = 35 ◦ C, Humidity = 79 %, Pressure = 998 hPa.
Temp = 33 ◦ C, Humidity = 96 %, Pressure = 998 hPa.
Temp = 27 ◦ C, Humidity = 96 %, Pressure = 1032 hPa.
Temp = 34 ◦ C, Humidity = 30 %, Pressure = 1032 hPa.
Temp = 21 ◦ C, Humidity = 30 %, Pressure = 1032 hPa.
Temp = 15 ◦ C, Humidity = 41 %, Pressure = 1052 hPa.
Temp = 31 ◦ C, Humidity = 41 %, Pressure = 1052 hPa.
Temp = 39 ◦ C, Humidity = 42 %, Pressure = 1052 hPa.
Temp = 32 ◦ C, Humidity = 42 %, Pressure = 935 hPa.
Temp = 23 ◦ C, Humidity = 90 %, Pressure = 935 hPa.
Temp = 22 ◦ C, Humidity = 90 %, Pressure = 935 hPa.
Temp = 22 ◦ C, Humidity = 53 %, Pressure = 947 hPa.
Temp = 25 ◦ C, Humidity = 53 %, Pressure = 947 hPa.
Temp = 28 ◦ C, Humidity = 74 %, Pressure = 947 hPa.
Temp = 40 ◦ C, Humidity = 74 %, Pressure = 953 hPa.
Temp = 35 ◦ C, Humidity = 24 %, Pressure = 953 hPa.
Temp = 21 ◦ C, Humidity = 24 %, Pressure = 953 hPa.
Temp = 32 ◦ C, Humidity = 74 %, Pressure = 902 hPa.
Temp = 39 ◦ C, Humidity = 74 %, Pressure = 902 hPa.
Temp = 32 ◦ C, Humidity = 59 %, Pressure = 902 hPa.
Temp = 39 ◦ C, Humidity = 59 %, Pressure = 977 hPa.
Temp = 24 ◦ C, Humidity = 28 %, Pressure = 977 hPa.
Temp = 16 ◦ C, Humidity = 28 %, Pressure = 977 hPa.
Temp = 24 ◦ C, Humidity = 24 %, Pressure = 908 hPa.
Temp = 20 ◦ C, Humidity = 24 %, Pressure = 908 hPa.
Temp = 17 ◦ C, Humidity = 23 %, Pressure = 908 hPa.
Temp = 18 ◦ C, Humidity = 23 %, Pressure = 917 hPa.
Temp = 27 ◦ C, Humidity = 24 %, Pressure = 917 hPa.
Temp = 34 ◦ C, Humidity = 24 %, Pressure = 917 hPa.
Temp = 39 ◦ C, Humidity = 48 %, Pressure = 1026 hPa.
Temp = 16 ◦ C, Humidity = 48 %, Pressure = 1026 hPa.
Temp = 31 ◦ C, Humidity = 63 %, Pressure = 1026 hPa.
Temp = 29 ◦ C, Humidity = 63 %, Pressure = 1034 hPa.
Temp = 17 ◦ C, Humidity = 46 %, Pressure = 1034 hPa.
Temp = 30 ◦ C, Humidity = 46 %, Pressure = 1034 hPa.
Temp = 35 ◦ C, Humidity = 75 %, Pressure = 1019 hPa.
Temp = 21 ◦ C, Humidity = 75 %, Pressure = 1019 hPa.
Temp = 25 ◦ C, Humidity = 64 %, Pressure = 1019 hPa.
Temp = 40 ◦ C, Humidity = 64 %, Pressure = 989 hPa.
Temp = 25 ◦ C, Humidity = 71 %, Pressure = 989 hPa.
Temp = 25 ◦ C, Humidity = 71 %, Pressure = 989 hPa.
Temp = 40 ◦ C, Humidity = 75 %, Pressure = 1087 hPa.
Temp = 15 ◦ C, Humidity = 75 %, Pressure = 1087 hPa.
Temp = 23 ◦ C, Humidity = 24 %, Pressure = 1087 hPa.
Temp = 27 ◦ C, Humidity = 24 %, Pressure = 1043 hPa.
Temp = 28 ◦ C, Humidity = 76 %, Pressure = 1043 hPa.
Temp = 15 ◦ C, Humidity = 76 %, Pressure = 1043 hPa.
Temp = 30 ◦ C, Humidity = 37 %, Pressure = 927 hPa.
Temp = 15 ◦ C, Humidity = 37 %, Pressure = 927 hPa.
Temp = 33 ◦ C, Humidity = 100 %, Pressure = 927 hPa.
Temp = 17 ◦ C, Humidity = 100 %, Pressure = 1056 hPa.
Temp = 39 ◦ C, Humidity = 42 %, Pressure = 1056 hPa.
Temp = 40 ◦ C, Humidity = 42 %, Pressure = 1056 hPa.
Temp = 22 ◦ C, Humidity = 95 %, Pressure = 1092 hPa.
Temp = 30 ◦ C, Humidity = 95 %, Pressure = 1092 hPa.
Temp = 19 ◦ C, Humidity = 79 %, Pressure = 1092 hPa.
Temp = 25 ◦ C, Humidity = 79 %, Pressure = 1009 hPa.
Temp = 37 ◦ C, Humidity = 96 %, Pressure = 1009 hPa.
Temp = 31 ◦ C, Humidity = 96 %, Pressure = 1009 hPa.
Temp = 38 ◦ C, Humidity = 77 %, Pressure = 1078 hPa.
Temp = 37 ◦ C, Humidity = 77 %, Pressure = 1078 hPa.
Temp = 28 ◦ C, Humidity = 40 %, Pressure = 1078 hPa.
Temp = 32 ◦ C, Humidity = 40 %, Pressure = 1037 hPa.
Temp = 20 ◦ C, Humidity = 80 %, Pressure = 1037 hPa.
Temp = 32 ◦ C, Humidity = 80 %, Pressure = 1037 hPa.
Temp = 25 ◦ C, Humidity = 31 %, Pressure = 946 hPa.
Temp = 39 ◦ C, Humidity = 31 %, Pressure = 946 hPa.
Temp = 40 ◦ C, Humidity = 70 %, Pressure = 946 hPa.
Temp = 27 ◦ C, Humidity = 70 %, Pressure = 1074 hPa.
Temp = 20 ◦ C, Humidity = 42 %, Pressure = 1074 hPa.
Temp = 16 ◦ C, Humidity = 42 %, Pressure = 1074 hPa.
Temp = 25 ◦ C, Humidity = 83 %, Pressure = 1006 hPa.
Temp = 27 ◦ C, Humidity = 83 %, Pressure = 1006 hPa.
Temp = 19 ◦ C, Humidity = 41 %, Pressure = 1006 hPa.
Temp = 36 ◦ C, Humidity = 41 %, Pressure = 930 hPa.
Temp = 35 ◦ C, Humidity = 27 %, Pressure = 930 hPa.
Temp = 17 ◦ C, Humidity = 27 %, Pressure = 930 hPa.
Temp = 26 ◦ C, Humidity = 39 %, Pressure = 998 hPa.
Temp = 38 ◦ C, Humidity = 39 %, Pressure = 998 hPa.
Temp = 21 ◦ C, Humidity = 66 %, Pressure = 998 hPa.
Temp = 26 ◦ C, Humidity = 66 %, Pressure = 1048 hPa.
Temp = 30 ◦ C, Humidity = 84 %, Pressure = 1048 hPa.
Temp = 16 ◦ C, Humidity = 84 %, Pressure = 1048 hPa.
Temp = 34 ◦ C, Humidity = 98 %, Pressure = 1028 hPa.
Temp = 40 ◦ C, Humidity = 98 %, Pressure = 1028 hPa.
